,picture,classnumber,date
0,dataset\2009061200.jpg,5,2009061200
1,dataset\2019010100.jpg,1,2019010100
2,dataset\2019010112.jpg,1,2019010112
3,dataset\2019010200.jpg,1,2019010200
4,dataset\2019010212.jpg,1,2019010212
5,dataset\2019010300.jpg,1,2019010300
6,dataset\2019010312.jpg,1,2019010312
7,dataset\2019010400.jpg,1,2019010400
8,dataset\2019010412.jpg,1,2019010412
9,dataset\2019010500.jpg,1,2019010500
10,dataset\2019010512.jpg,1,2019010512
11,dataset\2019010600.jpg,1,2019010600
12,dataset\2019010612.jpg,1,2019010612
13,dataset\2019010700.jpg,1,2019010700
14,dataset\2019010712.jpg,1,2019010712
15,dataset\2019010800.jpg,1,2019010800
16,dataset\2019010812.jpg,1,2019010812
17,dataset\2019010900.jpg,1,2019010900
18,dataset\2019010912.jpg,1,2019010912
19,dataset\2019011000.jpg,1,2019011000
20,dataset\2019011012.jpg,0,2019011012
21,dataset\2019011100.jpg,5,2019011100
22,dataset\2019011112.jpg,1,2019011112
23,dataset\2019011200.jpg,0,2019011200
24,dataset\2019011212.jpg,1,2019011212
25,dataset\2019011300.jpg,1,2019011300
26,dataset\2019011312.jpg,1,2019011312
27,dataset\2019011400.jpg,1,2019011400
28,dataset\2019011412.jpg,1,2019011412
29,dataset\2019011500.jpg,1,2019011500
30,dataset\2019011512.jpg,1,2019011512
31,dataset\2019011600.jpg,1,2019011600
32,dataset\2019011612.jpg,1,2019011612
33,dataset\2019011700.jpg,1,2019011700
34,dataset\2019011712.jpg,1,2019011712
35,dataset\2019011800.jpg,1,2019011800
36,dataset\2019011812.jpg,1,2019011812
37,dataset\2019011900.jpg,1,2019011900
38,dataset\2019011912.jpg,1,2019011912
39,dataset\2019012000.jpg,1,2019012000
40,dataset\2019012012.jpg,1,2019012012
41,dataset\2019012100.jpg,1,2019012100
42,dataset\2019012112.jpg,1,2019012112
43,dataset\2019012200.jpg,1,2019012200
44,dataset\2019012212.jpg,1,2019012212
